Date,0050.TW,006208.TW,0056.TW,00878.TW,00919.TW,2330.TW
2009/11/13,53.65000153,,21.65999985,,,61.79999924
2009/11/16,53.75,,21.64999962,,,62.40000153
2009/11/17,55.20000076,,21.89999962,,,63
2009/11/18,54.20000076,,21.70000076,,,63
2009/11/19,54.09999847,,22.19000053,,,62.90000153
2009/11/20,53.54999924,,22,,,62.79999924
2009/11/23,53.40000153,,22.20000076,,,61.40000153
2009/11/24,53.5,,21.79999924,,,62.20000076
2009/11/25,53.34999847,,21.79999924,,,62.20000076
2009/11/26,54.09999847,,22,,,62.79999924
2009/11/27,53.04999924,,21.79000092,,,61.09999847
2009/11/30,52.54999924,,21.37000084,,,61
2009/12/1,52.70000076,,21.70000076,,,61.5
2009/12/2,53.65000153,,21.70000076,,,61.40000153
2009/12/3,53.79999924,,21.89999962,,,61.59999847
2009/12/4,53.29999924,,21.77000046,,,61.5
2009/12/7,53.5,,21.72999954,,,62
2009/12/8,54.09999847,,21.97999954,,,62.90000153
2009/12/9,53.59999847,,21.88999939,,,62.20000076
2009/12/10,53.84999847,,22,,,62.79999924
2009/12/11,53,,21.89999962,,,61.90000153
2009/12/14,53.20000076,,22.10000038,,,62.09999847
2009/12/15,53.90000153,,22.31999969,,,62.5
2009/12/16,53.5,,22.28000069,,,62.5
2009/12/17,53.34999847,,22.10000038,,,62.09999847
2009/12/18,53,,22.04999924,,,61.5
2009/12/21,53.65000153,,22,,,62.40000153
2009/12/22,54,,22.39999962,,,62.59999847
2009/12/23,54.20000076,,22.34000015,,,63
2009/12/24,54.54999924,,22.39999962,,,63.40000153
2009/12/25,55.20000076,,22.61000061,,,63.90000153
2009/12/28,55.5,,22.54999924,,,63.40000153
2009/12/29,55.59999847,,22.75,,,63.70000076
2009/12/30,55.5,,22.70000076,,,63.29999924
2009/12/31,55.70000076,,23,,,64.40000153
2010/1/4,56.45000076,,23.43000031,,,65
2010/1/5,56.79999924,,23.70000076,,,65
2010/1/6,56.5,,23.29999924,,,64.5
2010/1/7,57.59999847,,23.75,,,64.90000153
2010/1/8,57.29999924,,23.51000023,,,63.5
2010/1/11,57.09999847,,23.79999924,,,64
2010/1/12,57.54999924,,24.04999924,,,64.40000153
2010/1/13,57.04999924,,23.79999924,,,63
2010/1/14,56.79999924,,23.65999985,,,63.59999847
